Revelations,Source documents & publications,Intelligence agencies,Countries,Type of collaboration,Target of collaboration
GCHQ's cable-tapping Tempora operation,https://freesnowden.is/revelations#gchq-tempora-porgramme ,"GCHQ, NSA",Global,The GCHQ provided the NSA access to data collected by tapping 200 fibre optic cables ,Public
"Large scale NSA activity in Germany, with domestic cooperation",https://freesnowden.is/revelations#nsa-in-germany ,"NSA, BND",Germany,Unpublished documents suggest that the BND collaborated with the NSA,Not clear
NSA works with the German BND,https://freesnowden.is/revelations#nsa-works-with-the-BND ,"NSA, BND",Germany,The NSA provided the BND access to Xkeyscore and they both jointly operated a data collection site in Bavaria called Bad Aibling,Public
NSA pays GCHQ for access to intelligence,https://freesnowden.is/revelations#nsa-pays-gchq-for-access ,"NSA, GCHQ",Global,"The NSA paid the GCHQ more than $100 million for access to its intelligence operations, as well as $1.5 million to redevelop a site in the UK which intercepts communications from transatlantic cables",Public
NSA shares raw intelligence with Israel,https://freesnowden.is/revelations#nsa-shares-intelligence-with-israel ,"NSA, ISNU","Israel, US",The NSA shared raw signals intelligence data with Israel's ISNU through a Memorandum of Understanding (MOU),Public and potentially judges and lawmakers as well
NSA and GCHQ target Tor anonymity software,https://freesnowden.is/revelations#nsa-and-gchq-target-tor ,"NSA, GCHQ",Global,The NSA and GCHQ collaborated in attempting to compromise the Tor anonymity network,Tor anonymity network
US and Canada spy on Brazil's Ministry of Mines and Energy,https://freesnowden.is/revelations#us-and-canada-spy-on-brazil ,"NSA, CSEC","Brazil, US, Canada",The phone and computer communications of the Brazilian Ministry of Mines and Energy was shared between the NSA and Canada's CSEC,Brazilian Ministry of Mines and Energy
NSA and GCHQ break into Yahoo and Google data centres,https://freesnowden.is/revelations#nsa-and-gchq-break-into-yahoo-and-google-data-centres ,"NSA, GCHQ",Global,The NSA and GCHQ collaborated in breaking into Google and Yahoo data centres.,Google and Yahoo data centres
European collaboration with NSA and GCHQ,https://freesnowden.is/revelations#european-collaboration-with-nsa-and-gchq ,"NSA, GCHQ, Intelligence services in Europe and Asia","EU, Japan, South Korea, France, Germany, the Netherlands, Italy, Spain, Sweden","18 European countries, Japan and South Korea have a “focused cooperation” relationship with the NSA that allows access to their citizens' metadata. The GCHQ has collaborated with intelligence services in France, Germany, Holland, Italy, Spain and Sweden to develop technical capabilities and to weaken domestic legal protections. ",Public
Canada allowed NSA to spy on G8 and G20 Summits,https://freesnowden.is/revelations#canada-allowed-nsa-spying-on-g8-and-g20-summits ,"NSA, CSEC",Global,Canada's CSEC coordinated with the NSA to spy on the G8 and G20 summits in Toronto.,Political leaders participating at the G8 and G20 summits in Toronto
Australia offered to share citizens' data with the NSA,https://freesnowden.is/revelations#australia-offered-to-share-citizens-data-with-the-nsa ,"ASD, NSA",Australia,Australia's ASD offered to share its own citizens' unredacted metadata with the NSA “as long as there is no intent to target an Australian national”. ,Australian citizens
"Sweden's close relationship with the NSA, GCHQ",https://freesnowden.is/revelations#swedens-close-relationship-with-the-nsa-gchq,"FRA, NSA, GCHQ","Sweden, Russia",Sweden's FRA had a close relationship with the NSA and GCHQ. The FRA has provided the NSA access to information intercepted from Swedish telecoms cables since 2011.,Citizens in the Baltic region and the Russian energy industry
Online games infiltrated by NSA and GCHQ,https://freesnowden.is/revelations#online-games-infiltrated-by-nsa-and-gchq ,"NSA, GCHQ",Global,The NSA and GCHQ collaborated in infiltrating in-game communications in World of Warcraft and Xbox Live. ,The in-game communications of online gamers.
Extent of Canadian cooperation with the NSA revealed,https://freesnowden.is/revelations#extent-of-canadian-cooperation-with-the-nsa-revealed ,"CSEC, NSA",Canada,"Canada's CSEC set up and operated covert spying posts in 20 countries at the behest of the NSA, personnel from the CSEC are stationed at an NSA facility and a reciprocal staffing arrangement exists.",Public
NSA and GCHQ use Google tracking cookies to identify targets,https://freesnowden.is/revelations#nsa-and-gchq-use-google-tracking-cookies-to-identify-targets ,"NSA, GCHQ, Five Eyes",Global,The NSA and GCHQ identified targets through the use of Google tracking cookies for “remote exploitation” and then shared information with their Five Eyes partners,Intelligence targets
"Sweden's FRA engages in offensive operations, has access to XKeyScore",https://freesnowden.is/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA",Sweden,The NSA provided Sweden's FRA with access to the XkeyScore tool. These two intelligence agencies also collaborated in offensive operations against five machines.,"Public, The machines of unknown targets"
Norway's 61 year relationship with the NSA,https://freesnowden.is/revelations#norways-61-year-relationship-with-the-nsa,"NSA, NIS","Norway, Russia",Norway's NIS is one of the NSA's two main foreign partners in the field of technical signals intelligence. The two agencies have collaborated since 1954 and their collaboration has included intelligence gathering on Russian civilians. ,Public
200 million text messages a day collected and analysed,https://freesnowden.is/revelations#200-million-text-messages-a-day-collected-and-analysed ,"NSA, GCHQ",Global,The NSA provided the GCHQ access to millions of text messages it collected and analysed,Public
ASD violates legal privilege and shares data with NSA,https://freesnowden.is/revelations#asd-violates-legal-privilege-and-shares-data-with-nsa ,"ASD, NSA","Australia, Indonesia",Australia's ASD shared information with the NSA that targeted a law firm advising the government of Indonesia in trade talks. ,"Law firm, Government of Indonesia"
Dutch interception of Somali phone data likely supports US drone strikes,https://freesnowden.is/revelations#dutch-interception-of-somali-phone-data-likely-supports-us-drone-strikes ,"AIVD, MIVD, NSA","Somalia, the Netherlands, U.S., France",Dutch interception of Somali phone data likely supports US drone strikes,Suspected terrorists and civilians in Somalia
NSA's partnership arrangements obscure to elected politicians,https://freesnowden.is/revelations#nsas-partnership-arrangement-obscure-to-elected-politicians ,NSA,Global,"The NSA has “Third Party Relationships” with multiple intelligence agencies from countries outside of the anglophone Five Eyes alliance, which are maintained regardless of elected politicians in those countries.",Public
Norway acquires a supercomputer for cryptanalysis,https://freesnowden.is/revelations#norway-acquires-a-supercomputer-for-cryptanalysis ,"NIS, NSA",Norway,Norway's intelligence service collaborates with the NSA in the field of cryptanalysis,Public
GCHQ sought “unsupervised access” to PRISM data,https://freesnowden.is/revelations#gchq-sought-unsupervised-access-to-prism-data ,"GCHQ, NSA",Global,The NSA provided the GCHQ access to data collected through PRISM and other tools,Public
“Collect it all” is an explicit Five Eyes goal,https://freesnowden.is/revelations#collect-it-all-is-an-explicit-five-eyes-goal ,"NSA, GCHQ, ASD, CSEC, GCSB (Five Eyes)",Global,The Five Eyes collaborate on collecting and analysing data.,Public
GCHQ and NSA aim for global coverage of in-flight phone data,https://freesnowden.is/revelations#gchq-and-nsa-aim-for-global-coverage-of-inflight-phone-data ,"NSA, Five Eyes",Global,The NSA planned to collect global in-flight communications data and to share it with Five Eyes partners,Flight passengers
GCHQ's Oman base and the corporate partners behind Tempora,https://freesnowden.is/revelations#gchqs-oman-bases-and-the-corporate-partners-behind-tempora ,GCHQ,"Oman, UK, U.S.",The GCHQ has a number of bases in Oman which tap directly into 9 undersea cables. Such data was subsequently shared with the NSA.,Public
Data used to kill terrorist suspects is intercepted in Germany,https://freesnowden.is/revelations#data-used-to-kill-terrorist-suspects-intercepted-in-germany ,"NSA, BND",Germany,Germany provided intelligence to the NSA which was used to “arrest or kill more than 40 terrorists”,Suspected terrorists
BND works together with NSA on Special Source Operations,https://freesnowden.is/revelations#bnd-works-together-with-nsa-on-special-source-operations ,"NSA, BND",Germany,The NSA and BND collaborate on the Special Source Operations. The NSA has provided the BND access to XkeyScore and the two agencies jointly had staffed projects at Germany's Bad Aibling base.,Public
