Revelations,Check,Source documents & publications,Intelligence agencies,Countries,Authorisation for surveillance,Codename of surveillance programme(s),Type of surveillance,Type of data collected,Data collection source
FISA Court Order Demanding US call records from Verizon,,https://freesnowden.is/revelations#fisa-court-order-demanding-us-call-records ,NSA,US,,,,,
PRISM: an NSA partnership with US service providers,,https://freesnowden.is/revelations#prism-an-nsa-partnership-with-us-service-providers ,NSA,Global,,,,,
Presidential Directive orders cyber-offensive targeting overseas,,https://freesnowden.is/revelations#presidential-directive-orders-cyber-offensive-targeting-overseas ,NSA,Global,,,,,
Boundless Informant illustrates NSA's global reach,,https://freesnowden.is/revelations#boundless-informant ,NSA,Global,,,,,
"NSA targets universities, mobile phones and fibre-optic network in China",,https://freesnowden.is/revelations#nsa-targets-universities-mobile-phones-in-China ,NSA,China,,,,,
How NSA decides what counts as US data,,https://freesnowden.is/revelations#faa-targeting-and-minimization ,NSA,US,,,,,
GCHQ's cable-tapping Tempora operation,,https://freesnowden.is/revelations#gchq-tempora-porgramme ,GCHQ,Global,,,,,
Internal investigation of post-9/11 warrantless wiretapping,,https://freesnowden.is/revelations#internal-investigation-of-post-9/11-warrantless-wiretapping-program ,NSA,US,,,,,
Authorisation for NSA analysis of US-based electronic metadata,,https://freesnowden.is/revelations#authorization-for-nsa-analysis ,NSA,US,,,,,
Extended data collection: EvilOlive and ShellTrumpet,,https://freesnowden.is/revelations#extended-data-collection ,NSA,US,,,,,
PRISM data acquisition,,https://freesnowden.is/revelations#prism-data-aquisition ,"NSA, FBI, CIA",Global,,,,,
"Large scale NSA activity in Germany, with domestic cooperation",,https://freesnowden.is/revelations#nsa-in-germany ,"NSA, BND",Germany,,,,,
XKeyScore – the NSA search tool for “nearly everything”,,https://freesnowden.is/revelations#xkeyscore-the-nsa-search-tool-for-nearly-everything ,NSA,Global,,,,,
NSA Section 702: targeting US persons,,https://freesnowden.is/revelations#nsa-section-702-targeting-us-persons ,NSA,US,,,,,
NSA auditing and the FISC Opinion,,https://freesnowden.is/revelations#nsa-auditing-and-the-fisc-opinion ,NSA,US,,,,,
US Intelligence Community Budget for 2013,,https://freesnowden.is/revelations#us-intelligence-community-budget ,N/A,US,,,,,
Smartphone surveillance,,https://freesnowden.is/revelations#smartphone-surveillance ,"NSA, GCHQ",Global,,,,,
India a top target,,https://freesnowden.is/revelations#india-a-top-target ,NSA,India,,,,,
Social networks of US citizens retrieved and analysed,,https://freesnowden.is/revelations#social-networks ,NSA,US,,,,,
NSA collects email address books and buddy lists,,https://freesnowden.is/revelations#nsa-collects-email-address-books ,NSA,Global,,,,,
GCHQ's attempts to keep its mass surveillance secret,,https://freesnowden.is/revelations#gchq-efforts-to-keep-mass-surveillance-secret ,GCHQ,UK,,,,,
Sixty million calls gathered from Spain,,https://freesnowden.is/revelations#Sixty-million-calls-gathered-from-Spain ,NSA,Spain,,,,,
NSA and GCHQ break into Yahoo and Google data centres,,https://freesnowden.is/revelations#nsa-and-gchq-break-into-yahoo-and-google-data-centres ,"NSA, GCHQ",Global,,,,,
Venezuela named as a key NSA target,,https://freesnowden.is/revelations#venezuela-named-as-a-key-nsa-target ,NSA,Venezuela,,,,,
Thirty three million Norwegian phone calls logged,,https://freesnowden.is/revelations#thirty-three-million-norwegian-phone-calls-logged ,NSA,Norway,,,,,
NSA retains information on UK citizens,,https://freesnowden.is/revelations#nsa-retains-information-on-uk-citizens ,NSA,UK,,,,,
NSA collects data “against” countries,Maybe?,https://freesnowden.is/revelations#nsa-collects-data-against-countries ,NSA,"Norway, Afghanistan",,,,,
NSA's ambitious four-year goals,Maybe?,https://freesnowden.is/revelations#nsas-ambitious-four-year-goals ,NSA,Global,,,,,
The Netherlands an NSA target since 1946,Maybe?,https://freesnowden.is/revelations#the-netherlands-an-nsa-target-since-1946 ,NSA,The Netherlands,,,,,
Microsoft data centres may also have been NSA targets,,https://freesnowden.is/revelations#microsoft-data-centres-may-also-have-been-nsa-targets ,NSA,Global,,,,,
CSEC's methodology explained,,https://freesnowden.is/revelations#csecs-methodology-explained ,CSEC,Canada,,,,,
Australia offered to share citizens' data with the NSA,,https://freesnowden.is/revelations#australia-offered-to-share-citizens-data-with-the-nsa ,"ASD, NSA",Australia,,,,,
NSA collecting phone location data on an unprecedented scale,,https://freesnowden.is/revelations#nsa-collecting-phone-location-data-on-an-unprecedented-scale ,NSA,Global,,,,,
"Italian leadership, embassy and public targeted by the NSA",,https://freesnowden.is/revelations#italian-leadership-embassy-and-public-targeted-by-the-nsa ,NSA,Italy,,,,,
"Sweden's FRA engages in offensive operations, has access to XKeyScore",,https://freesnowden.is/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA",Sweden,,,,,
NSA and others can listen in on GSM phone conversations,,https://freesnowden.is/revelations#nsa-and-others-can-listen-in-to-gsm-phone-conversations ,NSA,Global,,,,,
NSA Tailored Access Operations' software and hardware attacks explained,,https://freesnowden.is/revelations#nsa-tailored-access-operations-software-and-hardware-attacks-explained ,NSA,Global,,,,,
NSA trying to build quantum computer,,https://freesnowden.is/revelations#nsa-trying-to-build-quantum-computer ,NSA,Global,,,,,
