Revelations,Source documents & publications,Intelligence agencies,Countries,Codename of surveillance programme(s),Target(s),Type of surveillance,Why?
Surveillance of G20 delegates in London,https://freesnowden.is/revelations#surveillance-of-g20 ,GCHQ,Global,,"South African delegates, Russian delegates, Turkish finance minister and other delegates ","Phone monitoring, Email monitoring, Key-logging",To influence discussions to the UK's advantage
EU and UN buildings bugged by the NSA,https://freesnowden.is/revelations#eu-and-un-buildings-bugged ,NSA,"EU, Brazil, Bulgaria, Colombia, France, Georgia, Greece, India, Italy, Japan, Mexico, Slovakia, South Africa, South Korea, Taiwan, Venezuela, Vietnam, Gabon, Uganda, Nigeria, Bosnia, China, Russia, Iran, North Korea",DROPMIRE,"UN Secretary General, EU Diplomats, Governments","Wiretapping, Signals intelligence (SIGINT), Bugs",To gain access to “foreign government and economic” data which would give the U.S the upper hand in negotiations
NSA intelligence on the UN Security Council,https://freesnowden.is/revelations#nsa-intelligence-on-the-UN-security-council ,NSA,"France, Japan, Mexico, Brazil, Iran, Turkey, Lebanon, Global",,UN Security Council members (representatives of countries),Signals intelligence (SIGINT),To ensure that the Security Council voted for increased sanctions against Iran
NSA supplied intelligence on the Summit of Americas,https://freesnowden.is/revelations#nsa-supplied-intelligence-on-summit-of-americas ,NSA,"Antigua and Barbuda, Argentina, Bahamas, Belize, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Dominica, Dominican Republic, Ecuador, El Salvador, Grenada, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Nicaragua, Panama, Peru, Paraguay, Peru, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, Uruguay, Venezuela",,Presidents and Prime Ministers,Unknown (spying),"To deal with issues, such as Cuba, and “difficult counterparts”, such as the Venezuelan President"
NSA targets French foreign ministry network,https://freesnowden.is/revelations#nsa-targets-french-foreign-ministry-network ,NSA,France,,Diplomats,"Bugs, Access to computer network ","Foreign policy objectives, weapons trade and economic stability"
NSA targets Brazilian and Mexican presidents,https://freesnowden.is/revelations#nsa-targets-brazil-and-mexican-presidents ,NSA,"Brazil, Mexico",,Presidents,Filtering data and mapping contact network,Brazil and Mexico are rising as new actors which can stress regional stability
GCHQ exploits Belgian telecom company,https://freesnowden.is/revelations#gchq-exploits-belgian-telecom-company ,GCHQ,"Belgium, EU",Operation Socialist,"European Commission, European Parliament and the European Council (and Belgacom employees)",Redirection to websites that plant Regin malware on targets' computers,"To gain access to and infiltrate communications in the European Council, European Parliament and European Council"
India a top target,https://freesnowden.is/revelations#india-a-top-target ,NSA,India,,Indian diplomats at the UN and DC offices,Data collection bugs,For political and commercial reasons
US and Canada spy on Brazil's Ministry of Mines and Energy,https://freesnowden.is/revelations#us-and-canada-spy-on-brazil ,"NSA, CSEC",Brazil,Olympia,Brazil's Ministry of Mines and Energy (MME),"Signals intelligence (SIGINT), Analytics",Political and economic espionage
Mexican president's email account accessed,https://freesnowden.is/revelations#operation-flatliquid ,NSA,Mexico,Flatliquid,Mexican President,Computer-network exploitation and access to President's public email account,To gain insight into Mexico's political system and internal stability
