Revelations,Source documents & publications,Intelligence agencies,Countries,Codename of surveillance programme(s),Target(s),Type of surveillance
PRISM: an NSA partnership with US service providers,https://freesnowden.is/revelations#prism-an-nsa-partnership-with-us-service-providers ,"NSA, GCHQ",Global,PRISM,"Microsoft, Yahoo, Google, Facebook, PalTalk, YouTube, Skype, AOL, Apple","Data collection, Data mining "
PRISM data acquisition,https://freesnowden.is/revelations#prism-data-aquisition ,"NSA, FBI, CIA",Global,PRISM,"Microsoft, Yahoo, Google, Facebook, PalTalk, YouTube, Skype, AOL, Apple","Data collection, Data mining "
Al Jazeera communications,https://freesnowden.is/revelations#al-jazeera-communications ,NSA,"Russia, Qatar, US",,Al Jazeera,Hacking into internal communications system
NSA targeting the private communication networks of companies,https://freesnowden.is/revelations#targeting-brazil-oil-company-petrobras ,NSA,"Brazil, Japan, Belgium, France, Germany, Italy, Spain, Mexico, Russia",BLACKPEARL,"Petrobras, Warid Telecom, Gazprom, Aeroflot, SWIFT network, Google infrastructure",Interception of communications and IP addresses
GCHQ exploits Belgian telecom company,https://freesnowden.is/revelations#gchq-exploits-belgian-telecom-company ,"GCHQ, NSA","Belgium, UK",Operation Socialist,"Belgacom, Bics",Regin malware
NSA collects email address books and buddy lists,https://freesnowden.is/revelations#nsa-collects-email-address-books ,NSA,Global,SCISSORS,"Yahoo, Hotmail, Facebook, Gmail",Data collection
NSA targets French companies Wanadoo and Alcatel-Lucent,https://freesnowden.is/revelations#nsa-targets-wanadoo-and-alcatel-lucent ,NSA,"France, US","Boundless Informant, PRISM","Wanadoo, Alcatel-Lucent",Data collection
NSA and GCHQ break into Yahoo and Google data centres,https://freesnowden.is/revelations#nsa-and-gchq-break-into-yahoo-and-google-data-centres ,"NSA, GCHQ",Global,MUSCULAR,"Google, Yahoo",Hacking into the main communications links that connect Google and Yahoo data centres around the world
"GCHQ employs phishing attacks against Belgacom, Mach and OPEC",https://freesnowden.is/revelations#gchq-uses-phishing-attacks-against-opec-mach-belgacom-employees ,GCHQ,Global,Quantum Insert,"Belgacom, Mach, OPEC","Passively sniffing data, Spyware, Phishing attacks"
Microsoft data centres may also have been NSA targets,https://freesnowden.is/revelations#microsoft-data-centres-may-also-have-been-nsa-targets ,NSA,Global,MUSCULAR,"Possibly Microsoft services: Hotmail, Windows Live Messenger and Passport",Possible infiltration of communications links
