Revelations,Source documents & publications,Intelligence agencies,Countries,Target(s),Codename of surveillance programme,Type of surveillance
Al Jazeera communications,https://edwardsnowden.com/revelations#al-jazeera-communications ,NSA,"RUS,QAT","Al Jazeera, Aeroflot",,The NSA hacked into Al Jazeera's broadcasting internal communications and had information on reservation services for the Russian airline Aeroflot.
NSA and GCHQ's mission to crack encryption,https://edwardsnowden.com/revelations#nsa-and-gchq-mission-to-crack-encryption ,"NSA, GCHQ",GLB,"Network security technology, including TLS/SSL, HTTPS, SSH, encrypted chat, VPN and encrypted VoIP.","BULLRUN (NSA), EDGEHILL (GCHQ)","Attacks on 4G network encryption and network security technology, as well as exploitation of commercial systems using encryption. Plans to insert vulnerabilities into commercial encryption systems."
NSA and GCHQ target Tor anonymity software,https://edwardsnowden.com/revelations#nsa-and-gchq-target-tor ,"NSA (Tailored Access Operations), GCHQ",GLB,Tor anonymity software,"FOXACID, Egotistical Giraffe, WillowVixen, MULLENIZE (GCHQ)","The NSA's Tailored Access Operations (TAO) unit targeted outdated Firefox browsers in an attempt to exploit Tor (“Egotistical Giraffe”), tricked targets into clicking on malicious links (“WillowVixen”) and redirected targets to malicious servers for malware implantation (“FOXACID”). The GCHQ also attempted to “stain” anonymous electronic traffic (“MULLENIZE”). "
NSA signals intelligence aids drone campaign,https://edwardsnowden.com/revelations#nsa-sigint-aids-drone-campaign ,NSA (Counter-Terrorism Mission Aligned Cell),PAK,"Hassan Ghul, an Osama Bin Laden associate.",,"Collection of emails and phone calls, which led to a targeted drone strike. "
NSA gathers online activity data to discredit “radicalizers”,https://edwardsnowden.com/revelations#nsa-gathers-online-activity-data-to-discredit-radicalizers ,NSA,GLB,"Six Muslim individuals, none of whom were thought to be involved in terrorist activity. ",,"Collection of records of online sexual activity and evidence of visits to pornographic websites as part of a proposed plan to undermine the targets' credibility, reputation and authority.  "
Dutch AIVD attacks internet forums,https://edwardsnowden.com/revelations#dutch-aivd-attacks-internet-forums ,AIVD,GLB,Online forums,,Computer Network Exploitation (CNE) attacks against online forums in order to seize MySQL databases containing all posts and user data. Such data was subsequently matched with information from social networks in an attempt to identify individuals. 
Online games infiltrated by NSA and GCHQ,https://edwardsnowden.com/revelations#online-games-infiltrated-by-nsa-and-gchq ,"NSA, GCHQ",GLB,World of Warcraft and Xbox Live gamers ,Operation Galician,"Monitoring of in-game communications in World of Warcraft and Xbox Live through human intelligence presences in online games and virtual environments, as part of an effort to identify suspect terrorists and potential recruitment targets."
NSA and GCHQ use Google tracking cookies to identify targets,https://edwardsnowden.com/revelations#nsa-and-gchq-use-google-tracking-cookies-to-identify-targets ,"NSA, GCHQ",GLB,,"PREFID (GCHQ), HAPPYFOOT (NSA), GHOSTMACHINE (NSA)","Interception of mobile app traffic to determine a phone's location (HAPPYFOOT), usage of Google tracking cookies to identify targets for “remote exploitation” (PREFID) and cloud-based analytics (GHOSTMACHINE)."
NSA Tailored Access Operations' software and hardware attacks explained,https://edwardsnowden.com/revelations#nsa-tailored-access-operations-software-and-hardware-attacks-explained ,NSA (Tailored Access Operations),GLB,"By the mid-2000s, TAO had gained access to 258 targets in 89 countries. It conducted 279 operations worldwide in 2010. Some targets include system administrators, telecommunication engineers and Mexican security related organizations.","FOXACID, VALIDATOR, OLYMPUSFIRE, QFIRE, QuantumCookie, QuantumHand, QuantumInsert, QuantumBiscuit, QuantumBot, QuantumDNS, QuantumSky, QuantumPhantom, QuantumSmackdown, QuantumTheory/QuantumNation, QuantumCopper. ","Targeted software and hardware attacks, including the following: (1) Cyber attacks which result in the target's device being backdoored with “Validator” and “Seasonedmoth” spyware implants (QuantumTheory/QuantumNation), (2) Corrupting files and installing backdoors on applications targets are downloading (QuantumCopper), (3) Forcing cookies on target browsers (QuantumCookie), (4) Exploiting the computer of a target accessing his/her Facebook account (QuantumHand), (5) Man-on-the-side attacks which redirect targets to the FOXACID server for malware implantation (QuantumInsert), (6) Enhancing QuantumInsert when targets are behind large proxies, lack predictable source addresses and have insufficient unique web activity (QuantumBiscuit), (7) Finding computers belonging to botnets and hijacking the command and control channel (QuantumBot), (8) DNS injection or redirection and targeting single hosts or caching name servers (QuantumDNS), (9) Hijacking any IP on Quantum-able passive coverage to use as covert infrastructure (QuantumPhantom), (10) Denies access to a website through RST package spoofing (QuantumSky), (11) Preventing targets from downloading implants to DoD computers while capturing malicious payload for analysis (QuantumSmackdown). "
GCHQ versus Anonymous,https://edwardsnowden.com/revelations#gchq-verus-anonymous ,GCHQ,GLB,Anonymous and IRC servers,Rolling Thunder,DDOS attacks
