Revelations,Source documents & publications,Intelligence agencies,Countries,Target(s),Codename of surveillance programme,Type of surveillance
Al Jazeera communications,https://freesnowden.is/revelations#al-jazeera-communications ,NSA,"Russia, Qatar","Al Jazeera, Aeroflot",,The NSA hacked into Al Jazeera's broadcasting internal communications and had information on reservation services for the Russian airline Aeroflot.
NSA and GCHQ's mission to crack encryption,https://freesnowden.is/revelations#nsa-and-gchq-mission-to-crack-encryption ,"NSA, GCHQ",Global,"Network security technology, including TLS/SSL, HTTPS, SSH, encrypted chat, VPN and encrypted VoIP.","BULLRUN (NSA), EDGEHILL (GCHQ)","Attacks on 4G network encryption and network security technology, as well as exploitation of commercial systems using encryption. Plans to insert vulnerabilities into commercial encryption systems."
NSA and GCHQ target Tor anonymity software,https://freesnowden.is/revelations#nsa-and-gchq-target-tor ,"NSA (Tailored Access Operations), GCHQ",Global,Tor anonymity software,"FOXACID, Egotistical Giraffe, WillowVixen, MULLENIZE (GCHQ)","The NSA's Tailored Access Operations (TAO) unit targeted outdated Firefox browsers in an attempt to exploit Tor (“Egotistical Giraffe”), tricked targets into clicking on malicious links (“WillowVixen”) and redirected targets to malicious servers for malware implantation (“FOXACID”). The GCHQ also attempted to “stain” anonymous electronic traffic (“MULLENIZE”). "
NSA signals intelligence aids drone campaign,https://freesnowden.is/revelations#nsa-sigint-aids-drone-campaign ,NSA (Counter-Terrorism Mission Aligned Cell),Pakistan,"Hassan Ghul, an Osama Bin Laden associate.",,"Collection of emails and phone calls, which led to a targeted drone strike. "
NSA gathers online activity data to discredit “radicalizers”,https://freesnowden.is/revelations#nsa-gathers-online-activity-data-to-discredit-radicalizers ,NSA,Global,"Six Muslim individuals, none of whom were thought to be involved in terrorist activity. ",,"Collection of records of online sexual activity and evidence of visits to pornographic websites as part of a proposed plan to undermine the targets' credibility, reputation and authority.  "
Dutch AIVD attacks internet forums,https://freesnowden.is/revelations#dutch-aivd-attacks-internet-forums ,AIVD,Global,Online forums,,Computer Network Exploitation (CNE) attacks against online forums in order to seize MySQL databases containing all posts and user data. Such data was subsequently matched with information from social networks in an attempt to identify individuals. 
Online games infiltrated by NSA and GCHQ,https://freesnowden.is/revelations#online-games-infiltrated-by-nsa-and-gchq ,"NSA, GCHQ",Global,World of Warcraft and Xbox Live gamers ,Operation Galician,"Monitoring of in-game communications in World of Warcraft and Xbox Live through human intelligence presences in online games and virtual environments, as part of an effort to identify suspect terrorists and potential recruitment targets."
NSA and GCHQ use Google tracking cookies to identify targets,https://freesnowden.is/revelations#nsa-and-gchq-use-google-tracking-cookies-to-identify-targets ,"NSA, GCHQ",Global,,"PREFID (GCHQ), HAPPYFOOT (NSA), GHOSTMACHINE (NSA)","Interception of mobile app traffic to determine a phone's location (HAPPYFOOT), usage of Google tracking cookies to identify targets for “remote exploitation” (PREFID) and cloud-based analytics (GHOSTMACHINE)."
NGOs and allies found on GCHQ target lists,https://freesnowden.is/revelations#ngos-and-allies-found-on-GCHQ-target-lists ,GCHQ,"EU, Germany, Israel, Africa, France, Switzerland, Georgia, Turkey",,,
NSA Tailored Access Operations' software and hardware attacks explained,https://freesnowden.is/revelations#nsa-tailored-access-operations-software-and-hardware-attacks-explained ,NSA,Global,,,
GCHQ versus Anonymous,https://freesnowden.is/revelations#gchq-verus-anonymous ,GCHQ,Global,,,
Drone strike targeting relies on NSA geolocation,https://freesnowden.is/revelations#drone-strike-targeting-relies-on-nsa-geolocation ,NSA,"Iraq, Afghanistan, Yemen, Somalia, Pakistan",,,
"NSA, GCHQ target WikiLeaks staff and website visitors",https://freesnowden.is/revelations#nsa-gchq-target-wikileaks-staff-and-website-visitors ,"NSA, GCHQ",Global,,,
NSA targets System Administrators,https://freesnowden.is/revelations#nsa-targets-system-administrators ,NSA,Global,,,
Data used to kill terrorist suspects is intercepted in Germany,https://freesnowden.is/revelations#data-used-to-kill-terrorist-suspects-intercepted-in-germany ,"NSA, BND",Germany,,,
NSA and FBI surveilling Muslim-American leaders,https://freesnowden.is/revelations#nsa-and-fbi-surveilling-muslim-american-leaders ,"NSA, FBI",US,,,
NSA supports Israeli surveillance of Palestinians,https://freesnowden.is/revelations#nsa-supports-surveillance-of-palestinians ,"NSA, ISNU","Israel, Palestine",,,
NSA aids Turkey in lethal operations against Kurdish separatists,https://freesnowden.is/revelations#nsa-aids-turkey-in-lethal-operations-against-kurdish-separatists ,"NSA, MIT",Turkey,,,
GCHQ had key Mumbai plotter under surveillance,https://freesnowden.is/revelations#gchq-had-key-mumbai-plotter-under-surveillance ,,,,,
Some kinds of encryption are still “catastrophic” for the NSA,https://freesnowden.is/revelations#some-kinds-of-encryption-are-still-catastrophic-for-the-nsa ,,,,,
