Revelations,Source documents & publications,Intelligence agencies,Countries,Type of collaboration,Target of collaboration
GCHQ's cable-tapping Tempora operation,https://edwardsnowden.com/revelations#gchq-tempora-porgramme ,"GCHQ, NSA",GLB,The GCHQ provided the NSA access to data collected by tapping 200 fibre optic cables ,Public
"Large scale NSA activity in Germany, with domestic cooperation",https://edwardsnowden.com/revelations#nsa-in-germany ,"NSA, BND","DEU,USA",Unpublished documents suggest that the BND collaborated with the NSA,
NSA works with the German BND,https://edwardsnowden.com/revelations#nsa-works-with-the-BND ,"NSA, BND","DEU,USA",The NSA provided the BND access to Xkeyscore and they both jointly operated a data collection site in Bavaria called Bad Aibling,Public
NSA pays GCHQ for access to intelligence,https://edwardsnowden.com/revelations#nsa-pays-gchq-for-access ,"NSA, GCHQ",GLB,"The NSA paid the GCHQ more than $100 million for access to its intelligence operations, as well as $1.5 million to redevelop a site in the UK which intercepts communications from transatlantic cables",Public
NSA shares raw intelligence with Israel,https://edwardsnowden.com/revelations#nsa-shares-intelligence-with-israel ,"NSA, ISNU","ISR,USA",The NSA shared raw signals intelligence data with Israel's ISNU through a Memorandum of Understanding (MOU),Public and potentially judges and lawmakers as well
NSA and GCHQ target Tor anonymity software,https://edwardsnowden.com/revelations#nsa-and-gchq-target-tor ,"NSA, GCHQ",GLB,The NSA and GCHQ collaborated in attempting to compromise the Tor anonymity network,Tor anonymity network
US and Canada spy on Brazil's Ministry of Mines and Energy,https://edwardsnowden.com/revelations#us-and-canada-spy-on-brazil ,"NSA, CSEC","BRA,USA,CAN",The phone and computer communications of the Brazilian Ministry of Mines and Energy was shared between the NSA and Canada's CSEC,Brazilian Ministry of Mines and Energy
NSA and GCHQ break into Yahoo and Google data centres,https://edwardsnowden.com/revelations#nsa-and-gchq-break-into-yahoo-and-google-data-centres ,"NSA, GCHQ",GLB,The NSA and GCHQ collaborated in breaking into Google and Yahoo data centres.,Google and Yahoo data centres
European and Asian collaboration with NSA and GCHQ,https://edwardsnowden.com/revelations#european-collaboration-with-nsa-and-gchq ,"NSA, GCHQ, Intelligence services in Europe and Asia","JPN,ROK,FRA,DEU,NLD,ITA,ESP,SWE,USA,GBR","18 European countries, Japan and South Korea have a “focused cooperation” relationship with the NSA that allows access to their citizens' metadata. The GCHQ has collaborated with intelligence services in France, Germany, Holland, Italy, Spain and Sweden to develop technical capabilities and to weaken domestic legal protections. ",Public
Canada allowed NSA to spy on G8 and G20 Summits,https://edwardsnowden.com/revelations#canada-allowed-nsa-spying-on-g8-and-g20-summits ,"NSA, CSEC",GLB,Canada's CSEC coordinated with the NSA to spy on the G8 and G20 summits in Toronto.,Political leaders participating at the G8 and G20 summits in Toronto
Australia offered to share citizens' data with the NSA,https://edwardsnowden.com/revelations#australia-offered-to-share-citizens-data-with-the-nsa ,"ASD, NSA","AUS,USA",Australia's ASD offered to share its own citizens' unredacted metadata with the NSA “as long as there is no intent to target an Australian national”. ,Australian citizens
"Sweden's close relationship with the NSA, GCHQ",https://edwardsnowden.com/revelations#swedens-close-relationship-with-the-nsa-gchq,"FRA, NSA, GCHQ","SWE,RUS,GBR,USA",Sweden's FRA had a close relationship with the NSA and GCHQ. The FRA has provided the NSA access to information intercepted from Swedish telecoms cables since 2011.,Citizens in the Baltic region and the Russian energy industry
Online games infiltrated by NSA and GCHQ,https://edwardsnowden.com/revelations#online-games-infiltrated-by-nsa-and-gchq ,"NSA, GCHQ",GLB,The NSA and GCHQ collaborated in infiltrating in-game communications in World of Warcraft and Xbox Live. ,The in-game communications of online gamers.
Extent of Canadian cooperation with the NSA revealed,https://edwardsnowden.com/revelations#extent-of-canadian-cooperation-with-the-nsa-revealed ,"CSEC, NSA","CAN,USA","Canada's CSEC set up and operated covert spying posts in 20 countries at the behest of the NSA, personnel from the CSEC are stationed at an NSA facility and a reciprocal staffing arrangement exists.",Public
NSA and GCHQ use Google tracking cookies to identify targets,https://edwardsnowden.com/revelations#nsa-and-gchq-use-google-tracking-cookies-to-identify-targets ,"NSA, GCHQ, Five Eyes",GLB,The NSA and GCHQ identified targets through the use of Google tracking cookies for “remote exploitation” and then shared information with their Five Eyes partners,Intelligence targets
"Sweden's FRA engages in offensive operations, has access to XKeyScore",https://edwardsnowden.com/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA","SWE,USA",The NSA provided Sweden's FRA with access to the XkeyScore tool. These two intelligence agencies also collaborated in offensive operations against five machines.,"Public, The machines of unknown targets"
Norway's 61 year relationship with the NSA,https://edwardsnowden.com/revelations#norways-61-year-relationship-with-the-nsa,"NSA, NIS","NOR,RUS,USA",Norway's NIS is one of the NSA's two main foreign partners in the field of technical signals intelligence. The two agencies have collaborated since 1954 and their collaboration has included intelligence gathering on Russian civilians. ,Public
200 million text messages a day collected and analysed,https://edwardsnowden.com/revelations#200-million-text-messages-a-day-collected-and-analysed ,"NSA, GCHQ",GLB,The NSA provided the GCHQ access to millions of text messages it collected and analysed,Public
ASD violates legal privilege and shares data with NSA,https://edwardsnowden.com/revelations#asd-violates-legal-privilege-and-shares-data-with-nsa ,"ASD, NSA","AUS,IDN,USA",Australia's ASD shared information with the NSA that targeted a law firm advising the government of Indonesia in trade talks with the U.S.A.,"Law firm, Government of Indonesia"
